filename,width,height,class,xmin,ymin,xmax,ymax
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,128,4,149,15
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,input,0,47,49,75
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,button,4,50,45,71
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,radioButton,62,47,71,57
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,radioButton,62,64,71,73
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,1,93,13,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,14,93,28,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,29,93,42,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,42,93,58,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,59,93,72,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,73,93,85,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,86,93,98,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,110,93,139,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,link,140,93,159,110
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,heading,0,144,154,168
button-heading-input-link-radioButton_26491_3_jpg.rf.004c83ff8d116e2f08af8b8454b095ce.jpg,416,416,button,56,286,147,304
checkbox-heading-image-link_50887_26_jpg.rf.007a0c11df7e7c87715c01bca1623f34.jpg,416,416,link,333,1,416,43
checkbox-heading-image-link_50887_26_jpg.rf.007a0c11df7e7c87715c01bca1623f34.jpg,416,416,image,333,1,389,43
checkbox-heading-image-link_50887_26_jpg.rf.007a0c11df7e7c87715c01bca1623f34.jpg,416,416,heading,399,15,416,28
checkbox-heading-image-link_50887_26_jpg.rf.007a0c11df7e7c87715c01bca1623f34.jpg,416,416,link,333,51,416,93
checkbox-heading-image-link_50887_26_jpg.rf.007a0c11df7e7c87715c01bca1623f34.jpg,416,416,image,333,51,389,93
checkbox-heading-image-link_50887_26_jpg.rf.007a0c11df7e7c87715c01bca1623f34.jpg,416,416,heading,399,65,416,78
checkbox-heading-image-link_50887_26_jpg.rf.007a0c11df7e7c87715c01bca1623f34.jpg,416,416,link,333,101,416,143
checkbox-heading-image-link_50887_26_jpg.rf.007a0c11df7e7c87715c01bca1623f34.jpg,416,416,image,333,101,389,143
